Descriptio,Name,Latitude,Longitude,Number of Records,Path,Shapeid
Municipio,Chisec,15.84127998,-90.63742065,1,371,1
Municipio,Chisec,15.84253788,-90.63356781,1,372,1
Municipio,Chisec,15.84914875,-90.62998962,1,373,1
Municipio,Chisec,15.84804916,-90.62500763,1,374,1
Municipio,Chisec,15.85650635,-90.62290955,1,375,1
Municipio,Chisec,15.86448956,-90.61689758,1,376,1
Municipio,Chisec,15.8616066,-90.61447144,1,377,1
Municipio,Chisec,15.85844803,-90.61116791,1,378,1
Municipio,Chisec,15.85780334,-90.60832977,1,379,1
Municipio,Chisec,15.85854435,-90.60292816,1,380,1
Municipio,Chisec,15.85826397,-90.59913635,1,381,1
Municipio,Chisec,15.86291313,-90.59621429,1,382,1
Municipio,Chisec,15.87516117,-90.59712219,1,383,1
Municipio,Chisec,15.8767786,-90.59669495,1,384,1
Municipio,Chisec,15.87314415,-90.5916214,1,385,1
Municipio,Chisec,15.8736639,-90.59137726,1,386,1
Municipio,Chisec,15.88182831,-90.59087372,1,387,1
Municipio,Chisec,15.88389874,-90.5896225,1,388,1
Municipio,Chisec,15.88417721,-90.58488464,1,389,1
Municipio,Chisec,15.88952732,-90.58325958,1,390,1
Municipio,Chisec,15.89349175,-90.58306122,1,391,1
Municipio,Chisec,15.89827156,-90.58209991,1,392,1
Municipio,Chisec,15.90362835,-90.58592987,1,393,1
Municipio,Chisec,15.90494728,-90.58491516,1,394,1
Municipio,Chisec,15.90545845,-90.57988739,1,395,1
Municipio,Chisec,15.90781879,-90.57927704,1,396,1
Municipio,Chisec,15.91781998,-90.57912445,1,397,1
Municipio,Chisec,15.91741943,-90.57527924,1,398,1
Municipio,Chisec,15.92029285,-90.57205963,1,399,1
Municipio,Chisec,15.92838955,-90.56456757,1,400,1
Municipio,Chisec,15.92982388,-90.55715179,1,401,1
Municipio,Chisec,15.93338394,-90.55488586,1,402,1
Municipio,Chisec,15.93557167,-90.55517578,1,403,1
Municipio,Chisec,15.94263744,-90.54857636,1,404,1
Municipio,Chisec,15.94861507,-90.54760742,1,405,1
Municipio,Chisec,15.95292759,-90.54431915,1,406,1
Municipio,Chisec,15.95482159,-90.54230499,1,407,1
Municipio,Chisec,15.95389366,-90.53578186,1,408,1
Municipio,Chisec,15.95475769,-90.53418732,1,409,1
Municipio,Chisec,15.95751095,-90.53079224,1,410,1
Municipio,Chisec,15.95716667,-90.52794647,1,411,1
Municipio,Chisec,15.95734024,-90.52671814,1,412,1
Municipio,Chisec,15.95998192,-90.52462006,1,413,1
Municipio,Chisec,15.96038342,-90.52372742,1,414,1
Municipio,Chisec,15.95778942,-90.52220917,1,415,1
Municipio,Chisec,15.95957375,-90.52012634,1,416,1
Municipio,Chisec,15.96739101,-90.51737213,1,417,1
Municipio,Chisec,15.9681406,-90.51630402,1,418,1
Municipio,Chisec,15.96514797,-90.51405334,1,419,1
Municipio,Chisec,15.9723177,-90.49584198,1,420,1
Municipio,Chisec,15.97357941,-90.49547577,1,421,1
Municipio,Chisec,15.97249603,-90.50189209,1,422,1
Municipio,Chisec,15.98164654,-90.50794983,1,423,1
Municipio,Chisec,15.98313999,-90.5058136,1,424,1
Municipio,Chisec,15.98652935,-90.5042038,1,425,1
Municipio,Chisec,15.98785305,-90.50176239,1,426,1
Municipio,Chisec,15.98467827,-90.49982452,1,427,1
Municipio,Chisec,15.991292,-90.49108887,1,428,1
Municipio,Chisec,16.01349068,-90.48686218,1,429,1
Municipio,Chisec,16.01641464,-90.47813416,1,430,1
Municipio,Chisec,16.01439667,-90.47375488,1,431,1
Municipio,Chisec,16.0086956,-90.47122192,1,432,1
Municipio,Chisec,16.00593758,-90.47177124,1,433,1
Municipio,Chisec,16.00627327,-90.46412659,1,434,1
Municipio,Chisec,16.0152359,-90.45497131,1,435,1
Municipio,Chisec,16.01705742,-90.44150543,1,436,1
Municipio,Chisec,16.02746773,-90.43827057,1,437,1
Municipio,Chisec,16.02942085,-90.43589783,1,438,1
Municipio,Chisec,16.02918243,-90.43405151,1,439,1
Municipio,Chisec,16.02445602,-90.42518616,1,440,1
Municipio,Chisec,16.02342033,-90.42288208,1,441,1
Municipio,Chisec,16.0345211,-90.42313385,1,442,1
Municipio,Chisec,16.04143143,-90.42897034,1,443,1
Municipio,Chisec,16.03931808,-90.43740082,1,444,1
Municipio,Chisec,16.04075813,-90.44172668,1,445,1
Municipio,Chisec,16.04357719,-90.44088745,1,446,1
Municipio,Chisec,16.04689598,-90.42937469,1,447,1
Municipio,Chisec,16.05184364,-90.42816925,1,448,1
Municipio,Chisec,16.05695534,-90.42435455,1,449,1
Municipio,Chisec,16.06092262,-90.41960907,1,450,1
Municipio,Chisec,16.06413841,-90.41609192,1,451,1
Municipio,Chisec,16.06764984,-90.41857147,1,452,1
Municipio,Chisec,16.06563759,-90.42491913,1,453,1
Municipio,Chisec,16.06363869,-90.43079376,1,454,1
Municipio,Chisec,16.06559753,-90.43504334,1,455,1
Municipio,Chisec,16.06991005,-90.43746185,1,456,1
Municipio,Chisec,16.07388306,-90.43930054,1,457,1
Municipio,Chisec,16.07413292,-90.4392395,1,458,1
Municipio,Chisec,16.07337761,-90.43178558,1,459,1
Municipio,Chisec,16.04729462,-90.22286224,1,460,1
Municipio,Chisec,15.99020672,-90.04075623,1,461,1
Municipio,Chisec,15.99831009,-90.0356369,1,462,1
Municipio,Chisec,16.00861168,-90.03939056,1,463,1
Municipio,Chisec,16.01182747,-90.03505707,1,464,1
Municipio,Chisec,16.00658989,-90.02701569,1,465,1
Municipio,Chisec,16.00836182,-90.01544952,1,466,1
Municipio,Chisec,16.00346375,-90.01180267,1,467,1
Municipio,Chisec,15.99937439,-90.008255,1,468,1
Municipio,Chisec,15.9944973,-90.01378632,1,469,1
Municipio,Chisec,15.99160862,-90.00911713,1,470,1
Municipio,Chisec,15.9973526,-90.00061798,1,471,1
Municipio,Chisec,16.00021744,-89.99077606,1,472,1
Municipio,Chisec,15.99883366,-89.98390961,1,473,1
Municipio,Chisec,15.9975071,-89.98266602,1,474,1
Municipio,Cobán,15.37545204,-90.39007568,1,475,2
Municipio,Cobán,15.37851048,-90.38433075,1,476,2
Municipio,Cobán,15.37889099,-90.37342834,1,477,2
